key,org,Quarter,Util,NPM,GPM,GP_Per_CHead,GF_Per_Chead,NetVar,SubconPerc,LMult,Leverage,Ind_per_Chead,Dir_Per_Chead,TC_per_Chead,NP_per_Chead,Nvar_Perc_Eff,NVar_Perc_Rev,Rev_Budg_Var,GP_Budg_Var,NP_Budg_Var,DirLab_Perc_ProfFees,PropLab_Perc_ProfFees,BDLab_Perc_ProfFees,IndLab_Perc_ProfFees,TLab_Perc_ProfFees
Oct-Dec 2013-8220 INTEGRATED INFRASTRUCTURE,8220 INTEGRATED INFRASTRUCTURE,Oct-Dec 2013,68.42%,5.43%,34.26%,112 086.10,327 210.50,2 650 511,56.30%,2.55,12.53,94 302,215 124,309 427,17 784,4.15%,3.98%,20.31%,13.27%,317.13%,39.19%,3.26%,0.00%,16.44%,58.89%
Oct-Dec 2013-9120 TRAFFIC & TRANSPORTATION,9120 TRAFFIC & TRANSPORTATION,Oct-Dec 2013,61.48%,7.79%,52.02%,149 107.30,286 608.70,1 367 678,33.40%,2.81,7.25,126 788,137 501,264 289,22 320,18.43%,15.56%,15.75%,20.99%,-475.44%,35.61%,4.33%,0.00%,17.43%,57.38%
Oct-Dec 2013-9320 ROADS & HIGHWAYS,9320 ROADS & HIGHWAYS,Oct-Dec 2013,71.77%,14.96%,45.65%,148 045.40,324 275.10,4 266 376,42.50%,2.81,9.38,99 547,176 230,275 777,48 498,19.78%,16.51%,-7.87%,18.64%,141.63%,35.62%,2.38%,0.00%,14.94%,52.94%
Oct-Dec 2013-9440 RAILWAY ENGINEERING SERVICES,9440 RAILWAY ENGINEERING SERVICES,Oct-Dec 2013,67.63%,19.26%,47.91%,201 893.20,421 425.60,3 137 675,38.90%,2.88,4.2,120 723,219 532,340 255,81 170,16.11%,13.87%,27.35%,34.75%,184.54%,34.68%,1.87%,0.00%,14.78%,51.33%
Jan-Mar 2014-3230 ENVIRONMENTAL SERVICES,3230 ENVIRONMENTAL SERVICES,Jan-Mar 2014,56.54%,-5.34%,58.60%,107 260.00,183 041.90,858 078,23.50%,3.42,9.67,117 043,75 782,192 825,-9 783,19.55%,16.35%,-12.05%,5.37%,13.90%,29.25%,4.84%,0.41%,29.48%,63.98%
Jan-Mar 2014-4320 POWER AND ENERGY,4320 POWER AND ENERGY,Jan-Mar 2014,70.26%,20.86%,62.79%,166 751.20,265 588.50,4 188 160,22.60%,3.66,14.5,111 343,98 837,210 180,55 408,40.20%,28.67%,19.81%,36.76%,80.32%,27.30%,3.68%,0.04%,13.06%,44.07%
"Jan-Mar 2014-6240 DAMS, HYDROPOWER & UNDERGROUND","6240 DAMS, HYDROPOWER & UNDERGROUND",Jan-Mar 2014,72.96%,12.44%,37.48%,144 193.70,384 741.40,2 632 894,47.20%,2.39,15,96 315,240 548,336 863,47 878,11.19%,10.06%,-18.67%,-25.15%,-48.43%,41.88%,0.71%,0.00%,16.25%,58.84%
Jan-Mar 2014-8220 INTEGRATED INFRASTRUCTURE,8220 INTEGRATED INFRASTRUCTURE,Jan-Mar 2014,71.20%,0.89%,31.67%,108 274.20,341 907.50,1 210 260,61.20%,2.45,13.38,105 245,233 633,338 878,3 030,1.76%,1.73%,7.45%,-8.65%,-87.89%,40.87%,3.10%,0.01%,15.45%,59.44%
Jan-Mar 2014-9120 TRAFFIC & TRANSPORTATION,9120 TRAFFIC & TRANSPORTATION,Jan-Mar 2014,64.60%,-1.57%,38.35%,108 283.00,282 351.50,306 290,55.40%,2.49,10.75,112 729,174 068,286 798,-4 446,2.84%,2.76%,29.77%,-0.01%,-139.37%,40.08%,6.57%,1.34%,17.46%,65.45%
Jan-Mar 2014-9320 ROADS & HIGHWAYS,9320 ROADS & HIGHWAYS,Jan-Mar 2014,73.94%,21.30%,45.69%,143 371.90,313 812.40,5 139 119,39.20%,2.55,12.43,76 530,170 440,246 970,66 842,23.86%,19.27%,-12.57%,4.31%,32.01%,39.19%,2.43%,0.00%,14.72%,56.34%
Jan-Mar 2014-9440 RAILWAY ENGINEERING SERVICES,9440 RAILWAY ENGINEERING SERVICES,Jan-Mar 2014,64.08%,12.46%,50.64%,182 261.70,359 924.20,1 765 718,32.00%,2.68,4.8,137 418,177 662,315 081,44 843,9.99%,9.08%,-5.39%,5.09%,-24.93%,37.26%,2.02%,0.08%,17.72%,57.08%
Jan-Mar 2014-9540 AIRPORTS,9540 AIRPORTS,Jan-Mar 2014,83.75%,26.83%,57.09%,375 166.40,657 114.00,5,0.00%,2.54,0,198 857,281 948,480 805,176 309,0.00%,0.00%,-23.78%,58.04%,-433.24%,39.43%,1.31%,1.87%,10.82%,53.43%
Apr-Jun 2014-3230 ENVIRONMENTAL SERVICES,3230 ENVIRONMENTAL SERVICES,Apr-Jun 2014,60.62%,-4.57%,59.50%,126 025.60,211 817.50,1 043 407,25.60%,3.26,11,135 701,85 792,221 493,-9 675,24.95%,19.97%,-19.52%,-3.33%,13.33%,30.69%,3.46%,2.94%,27.29%,64.38%
Apr-Jun 2014-4320 POWER AND ENERGY,4320 POWER AND ENERGY,Apr-Jun 2014,67.96%,4.49%,55.85%,125 032.70,223 872.90,1 647 480,15.60%,2.68,15.25,114 972,98 840,213 812,10 061,14.63%,12.76%,-8.43%,-10.59%,-62.58%,37.35%,2.99%,1.49%,16.66%,58.48%
"Apr-Jun 2014-6240 DAMS, HYDROPOWER & UNDERGROUND","6240 DAMS, HYDROPOWER & UNDERGROUND",Apr-Jun 2014,75.29%,11.48%,44.19%,181 789.10,411 393.20,3 427 277,29.90%,2.53,20.33,134 564,229 604,364 168,47 225,17.00%,14.53%,-30.01%,-23.71%,-55.45%,39.50%,1.11%,0.00%,13.36%,53.97%
Apr-Jun 2014-8220 INTEGRATED INFRASTRUCTURE,8220 INTEGRATED INFRASTRUCTURE,Apr-Jun 2014,71.85%,5.65%,30.70%,129 376.60,421 416.50,1 030 853,63.80%,2.43,13.31,105 571,292 040,397 611,23 806,1.21%,1.19%,26.50%,-2.05%,25.23%,41.08%,1.46%,0.00%,16.12%,58.66%
Apr-Jun 2014-9120 TRAFFIC & TRANSPORTATION,9120 TRAFFIC & TRANSPORTATION,Apr-Jun 2014,63.06%,1.38%,48.08%,132 470.50,275 532.30,904 880,35.40%,2.46,9.5,128 669,143 062,271 731,3 801,9.55%,8.72%,23.61%,18.98%,-136.24%,40.71%,2.36%,2.12%,20.15%,65.34%
Apr-Jun 2014-9320 ROADS & HIGHWAYS,9320 ROADS & HIGHWAYS,Apr-Jun 2014,78.91%,-2.52%,34.41%,84 745.70,246 282.30,-767 278,32.70%,1.93,16.33,90 957,161 537,252 494,-6 212,-3.20%,-3.30%,-20.08%,-35.40%,-114.85%,51.87%,2.49%,0.03%,13.76%,68.15%
Apr-Jun 2014-9440 RAILWAY ENGINEERING SERVICES,9440 RAILWAY ENGINEERING SERVICES,Apr-Jun 2014,57.69%,-6.99%,46.10%,150 377.90,326 181.10,714 466,27.30%,2.42,4.6,173 163,175 803,348 966,-22 785,4.71%,4.50%,-34.53%,-33.52%,-132.22%,41.33%,6.62%,0.59%,25.35%,73.89%
Apr-Jun 2014-9540 AIRPORTS,9540 AIRPORTS,Apr-Jun 2014,46.25%,-5.12%,59.49%,326 159.00,548 241.30,1 536,2.40%,2.81,0,354 205,222 082,576 288,-28 046,0.14%,0.14%,-64.45%,-23.20%,-131.94%,35.58%,2.99%,5.11%,32.99%,76.66%
Jul-Sep 2014-3230 ENVIRONMENTAL SERVICES,3230 ENVIRONMENTAL SERVICES,Jul-Sep 2014,64.33%,11.17%,64.32%,179 604.60,279 238.00,1 873 321,24.80%,3.5,15.5,148 427,99 633,248 061,31 177,42.04%,29.60%,-18.70%,1.36%,6.69%,28.59%,2.33%,3.01%,17.19%,51.11%
Jul-Sep 2014-4320 POWER AND ENERGY,4320 POWER AND ENERGY,Jul-Sep 2014,71.16%,9.98%,56.67%,154 760.30,273 087.20,2 601 972,22.90%,2.8,13.4,127 499,118 327,245 826,27 261,20.65%,17.12%,-6.11%,-6.53%,-41.26%,35.74%,3.27%,1.12%,13.76%,53.89%
