key,org,Quarter,Util,NPM,GPM,GP_Per_CHead,GF_Per_Chead,NetVar,SubconPerc,LMult,Leverage,Ind_per_Chead,Dir_Per_Chead,TC_per_Chead,NP_per_Chead,Nvar_Perc_Eff,NVar_Perc_Rev,Rev_Budg_Var,GP_Budg_Var,NP_Budg_Var,DirLab_Perc_ProfFees,PropLab_Perc_ProfFees,BDLab_Perc_ProfFees,IndLab_Perc_ProfFees,TLab_Perc_ProfFees
Apr-Jun 2015-9540 AIRPORTS,9540 AIRPORTS,Apr-Jun 2015,69.82%,-18.11%,4.27%,120 690.90,2 826 983.70,-156 494,85.00%,1.46,1,632 774,2 706 293,3 339 067,-512 083,-5.25%,-5.54%,2.38%,-88.41%,-239.17%,68.50%,0.00%,10.60%,33.51%,112.61%
Jul-Sep 2015-3230 ENVIRONMENTAL SERVICES,3230 ENVIRONMENTAL SERVICES,Jul-Sep 2015,57.93%,6.65%,59.54%,236 421.10,397 053.50,9 432 581,14.40%,2.8,22.33,210 020,160 632,370 653,26 401,77.69%,43.72%,26.82%,38.62%,-62.53%,35.74%,1.66%,2.80%,11.38%,51.58%
Jul-Sep 2015-4320 POWER AND ENERGY,4320 POWER AND ENERGY,Jul-Sep 2015,67.45%,-3.16%,57.15%,138 699.40,242 695.80,1 930 773,17.40%,2.78,12,146 376,103 996,250 373,-7 677,17.40%,14.82%,-22.71%,-20.40%,-111.10%,35.96%,4.69%,3.07%,17.67%,61.38%
"Jul-Sep 2015-6240 DAMS, HYDROPOWER & UNDERGROUND","6240 DAMS, HYDROPOWER & UNDERGROUND",Jul-Sep 2015,83.46%,21.90%,47.23%,240 883.10,510 015.00,5 917 380,44.00%,2.34,19.67,129 176,269 132,398 308,111 707,25.94%,20.60%,-18.18%,-5.54%,-28.19%,42.73%,1.69%,0.77%,8.20%,53.39%
Jul-Sep 2015-8220 INTEGRATED INFRASTRUCTURE,8220 INTEGRATED INFRASTRUCTURE,Jul-Sep 2015,73.95%,1.94%,40.92%,134 266.90,328 102.10,5 076 435,43.70%,2.41,16.33,127 911,193 835,321 746,6 356,7.93%,7.34%,-35.74%,-24.96%,-92.53%,41.57%,3.54%,0.32%,13.85%,59.28%
Jul-Sep 2015-9120 TRAFFIC & TRANSPORTATION,9120 TRAFFIC & TRANSPORTATION,Jul-Sep 2015,60.15%,-45.72%,33.68%,66 290.80,196 842.30,-1 770 178,29.00%,1.77,11.75,156 277,130 551,286 829,-89 987,-17.75%,-21.58%,-35.41%,-55.93%,-306.50%,56.48%,7.61%,4.28%,26.05%,94.41%
Jul-Sep 2015-9320 ROADS & HIGHWAYS,9320 ROADS & HIGHWAYS,Jul-Sep 2015,82.19%,7.78%,39.90%,121 484.10,304 460.20,1 454 690,31.40%,2.08,15.43,97 807,182 976,280 783,23 677,5.20%,4.94%,6.31%,7.54%,-51.55%,48.12%,1.26%,0.10%,10.75%,60.23%
Jul-Sep 2015-9440 RAILWAY ENGINEERING SERVICES,9440 RAILWAY ENGINEERING SERVICES,Jul-Sep 2015,77.15%,12.13%,48.89%,228 915.90,468 197.90,816 492,13.70%,2.24,5.56,172 104,239 282,411 386,56 812,3.97%,3.82%,-9.09%,-8.87%,-44.80%,44.64%,-1.08%,0.10%,14.30%,57.96%
Jul-Sep 2015-9540 AIRPORTS,9540 AIRPORTS,Jul-Sep 2015,50.11%,-25.36%,41.26%,447 938.80,1 085 775.20,305 189,67.10%,2.99,1,723 271,637 836,1 361 107,-275 332,39.10%,28.11%,-61.74%,-58.21%,-167.18%,33.49%,7.65%,19.77%,30.46%,91.36%
Oct-Dec 2015-3230 ENVIRONMENTAL SERVICES,3230 ENVIRONMENTAL SERVICES,Oct-Dec 2015,57.96%,3.11%,61.67%,198 312.60,321 567.70,5 606 311,16.00%,3.39,21.67,188 314,123 255,311 570,9 998,49.48%,33.10%,10.33%,25.09%,-81.45%,29.53%,2.50%,2.69%,14.03%,48.75%
Oct-Dec 2015-4320 POWER AND ENERGY,4320 POWER AND ENERGY,Oct-Dec 2015,67.34%,-20.16%,52.79%,107 768.60,204 128.60,-128 366,6.80%,2.33,11.2,148 925,96 360,245 285,-41 156,-1.25%,-1.27%,-34.24%,-37.97%,-177.33%,42.89%,4.17%,2.98%,20.78%,70.83%
"Oct-Dec 2015-6240 DAMS, HYDROPOWER & UNDERGROUND","6240 DAMS, HYDROPOWER & UNDERGROUND",Oct-Dec 2015,79.18%,24.14%,40.23%,334 002.80,830 134.50,5 482 307,67.70%,2.36,19.67,133 627,496 132,629 758,200 376,14.34%,12.54%,44.21%,33.19%,45.14%,42.39%,1.11%,0.64%,12.07%,56.20%
Oct-Dec 2015-8220 INTEGRATED INFRASTRUCTURE,8220 INTEGRATED INFRASTRUCTURE,Oct-Dec 2015,73.03%,1.95%,39.21%,138 413.80,353 047.20,5 507 381,44.90%,2.44,15.33,131 523,214 633,346 157,6 891,8.24%,7.61%,-28.64%,-20.30%,-90.03%,40.95%,2.57%,0.30%,14.97%,58.79%
Oct-Dec 2015-9120 TRAFFIC & TRANSPORTATION,9120 TRAFFIC & TRANSPORTATION,Oct-Dec 2015,58.27%,-29.90%,28.28%,80 323.40,284 068.10,-993 977,56.80%,2.13,10,165 256,203 745,369 000,-84 932,-8.23%,-8.97%,-6.66%,-46.47%,-395.92%,46.88%,7.56%,3.23%,26.96%,84.63%
Oct-Dec 2015-9320 ROADS & HIGHWAYS,9320 ROADS & HIGHWAYS,Oct-Dec 2015,74.82%,-4.51%,30.29%,93 239.20,307 798.30,-904 601,46.30%,1.89,17.67,107 108,214 559,321 668,-13 869,-2.97%,-3.06%,8.93%,-16.53%,-131.05%,52.99%,0.72%,0.21%,18.20%,72.13%
Oct-Dec 2015-9440 RAILWAY ENGINEERING SERVICES,9440 RAILWAY ENGINEERING SERVICES,Oct-Dec 2015,72.52%,13.71%,49.13%,240 304.10,489 131.00,1 461 633,23.30%,2.32,5.56,173 234,248 827,422 060,67 071,6.95%,6.50%,-2.24%,-1.56%,-26.91%,43.08%,-0.23%,0.17%,16.38%,59.41%
Oct-Dec 2015-9540 AIRPORTS,9540 AIRPORTS,Oct-Dec 2015,8.46%,-40.66%,18.52%,220 776.80,1 191 841.00,179 771,96.30%,3.56,0,705 325,971 064,1 676 390,-484 549,17.76%,15.08%,-55.87%,-78.69%,-223.92%,28.13%,17.90%,255.71%,30.69%,332.43%
